ID,Title,Labels,Iteration,Iteration Start,Iteration End,Type,Estimate,Current State,Created at,Accepted at,Deadline,Requested By,Description,URL,Owned By,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status
1,"As a user, I need to be able to identify the purpose of the site/company",,1,"July 7, 2017","Jan 3, 2016",feature,,unstarted,"July 7, 2017",,"July 18, 2017",Tristan Gilford,,https://www.pivotaltracker.com/story/show/1,,Add a header,not completed,Find an appropriate logo,not completed,Add the logo,not completed,,,,,,,,
2,"As a user, I need to be able to search a website by URL",,1,"July 7, 2017","Jan 3, 2016",feature,,unstarted,"July 7, 2017",,"July 18, 2017",Tristan Gilford,,https://www.pivotaltracker.com/story/show/2,,Set up a local express server,not completed,Store some sample books data,not completed,Retrieve the books data from the express server,not completed,Create a view for the books data,not completed,Deliver the data to the view,not completed,Deliver the view with the data to the user,not completed,Deploy the express server and database,not completed
3,"As a user, I need to be able to see:  Website Description",,1,"July 7, 2017","Jan 3, 2016",feature,,unstarted,"July 7, 2017",,"July 18, 2017",Tristan Gilford,,https://www.pivotaltracker.com/story/show/3,,Create a view for adding books,not completed,Validate user input in the view,not completed,Link to the add book view from the books list,not completed,Create an express route for adding books,not completed,Validate user input in the route,not completed,Deploy your changes,not completed,,
4,"As a user, I need to be able to see:  Website Popularity Ranking",,1,"July 7, 2017","Jan 3, 2016",feature,,unstarted,"July 7, 2017",,"July 18, 2017",Tristan Gilford,,https://www.pivotaltracker.com/story/show/4,,Create a view for deleting books,not completed,Create a link to the delete view from the books list,not completed,Create a route for deleting books,not completed,Deploy your changes,not completed,,,,,,
5,"As a user, I need to be able to see:  Content Management System(s)",,1,"July 7, 2017","Jan 3, 2016",feature,,unstarted,"July 7, 2017",,"July 18, 2017",Tristan Gilford,,https://www.pivotaltracker.com/story/show/5,,Create a view for editing books,not completed,Validate user input,not completed,Link to the edit view from the books list,not completed,Create a route for editing books,not completed,Validate user input on the route,not completed,Deploy your changes,not completed,,
6,"As a user, I need to be able to see:  Server-Side Programming Languages",,1,"July 7, 2017","Jan 3, 2016",feature,,unstarted,"July 7, 2017",,"July 18, 2017",Tristan Gilford,,https://www.pivotaltracker.com/story/show/1,,Create a view for reading a single book,not completed,Create a route for reading a single book,not completed,Deploy your changes,not completed,,,,,,,,
7,"As a user, I need to be able to see:  Client-Side Programming Languages",,1,"July 7, 2017","Jan 3, 2016",feature,,unstarted,"July 7, 2017",,"July 18, 2017",Tristan Gilford,,https://www.pivotaltracker.com/story/show/2,,Update the data model to include authors,not completed,Add some seed author data,not completed,Create an authors list view,not completed,Create an authors list route,not completed,Deploy your changes,not completed,,,,
8,"As a user, I need to be able to see:  Framework(s)",,1,"July 7, 2017","Jan 3, 2016",feature,,unstarted,"July 7, 2017",,"July 18, 2017",Tristan Gilford,,https://www.pivotaltracker.com/story/show/3,,Add an index page that links to the books list and authors list pages,not completed,Add a side navigation that's visible from the books list and authors list pages,not completed,Deploy your changes,not completed,,,,,,,,
9,"As a user, I need to be able to see:  Libraries",,1,"July 7, 2017","Jan 3, 2016",feature,,unstarted,"July 7, 2017",,"July 18, 2017",Tristan Gilford,,https://www.pivotaltracker.com/story/show/4,,Create an add author view,not completed,Validate user input in the view,not completed,Create an add author route,not completed,Validate user input in the route,not completed,Deploy your changes,not completed,,,,
10,"As a user, I need to be able to see:  Content Delivery Network(s)",,1,"July 7, 2017","Jan 3, 2016",feature,,unstarted,"July 7, 2017",,"July 18, 2017",Tristan Gilford,,https://www.pivotaltracker.com/story/show/5,,Create delete author view,not completed,Create delete author route,not completed,Deploy your changes,not completed,,,,,,,,
11,"As a user, I need to be able to see:  Markup Language",,1,"July 7, 2017","Jan 3, 2016",feature,,unstarted,"July 7, 2017",,"July 18, 2017",Tristan Gilford,,https://www.pivotaltracker.com/story/show/1,,Create an edit author view,not completed,Validate user input on the view,not completed,Create an edit author route,not completed,Validate user input on the route,not completed,Deploy your changes,not completed,,,,
12,"As a user, I need to be able to see:  Image File Format(s)",,1,"July 7, 2017","Jan 3, 2016",feature,,unstarted,"July 7, 2017",,"July 18, 2017",Tristan Gilford,,https://www.pivotaltracker.com/story/show/2,,Create a view for a single author,not completed,Create a route for a single author,not completed,Deploy your changes,not completed,,,,,,,,
13,"As a user, I need to be able to see:  Styling Elements",,1,"July 7, 2017","Jan 3, 2016",feature,,unstarted,"July 7, 2017",,"July 18, 2017",Tristan Gilford,,https://www.pivotaltracker.com/story/show/3,,Add links to single author views from the books list,not completed,Add links to single author views from individual books,not completed,Add links to single author views from delete books views,not completed,Deploy your changes,not completed,,,,,,
14,"As a user, I need to be able to see:  SSL Certificate Authorities",,1,"July 7, 2017","Jan 3, 2016",feature,,unstarted,"July 7, 2017",,"July 18, 2017",Tristan Gilford,,https://www.pivotaltracker.com/story/show/4,,Add links to single book views from authors list,not completed,Add links to single book views from single author view,not completed,Add links to single book views from delete author view,not completed,Deploy your changes,not completed,,,,,,
15,"As a user, I need to be able to see:  Traffic Analysis Tool(s)",,1,"July 7, 2017","Jan 3, 2016",feature,,unstarted,"July 7, 2017",,"July 18, 2017",Tristan Gilford,,https://www.pivotaltracker.com/story/show/5,,Add a drop down for genres to the books list,not completed,"When a value is selected from the list, only show books from that genre",not completed,Deploy your changes,not completed,,,,,,,,
16,"As a user, I need to be able to see:",,1,"July 7, 2017","Jan 3, 2016",feature,,unstarted,"July 7, 2017",,"July 18, 2017",Tristan Gilford,,https://www.pivotaltracker.com/story/show/1,,Limit the display on the books list page to 10 books per page,not completed,Link another page if there are more than 10,not completed,Link to a previous page if there are fewer than 10,not completed,Deploy your changes,not completed,,,,,,
17,"As a user, I need to see content broken down by: ",,1,"July 7, 2017","Jan 3, 2016",feature,,unstarted,"July 7, 2017",,"July 18, 2017",Tristan Gilford,,https://www.pivotaltracker.com/story/show/1,,Limit the display on the books list page to 10 books per page,not completed,Link another page if there are more than 10,not completed,Link to a previous page if there are fewer than 10,not completed,Deploy your changes,not completed,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
